mos	fr	en
Da sak-y tɩ yãmb sũyã rẽgem ye.	De laissez pas salir vos cœurs.	Don't let your hearts get spoiled / impure.
Fuugã rẽgmame.	L'habit est sali.	The garment is dirty.
Rẽnd yaa sõama.	Cela est bien.	That is good.
Fo rẽnda la woto.	C'est ta part comme ça.	This is your share.
Mam rẽnda.	Le mien.	My share.
Rẽnda fo tara bʋʋm.	Donc tu as raison.	So you are right.
Rẽndame tɩ d sa tʋʋmdã.	Il faut qu'on finisse le travail.	We must finish the work.
a boka rẽndẽneg a yagdrã zugu.	a boka rẽndẽneg a yagdrã zugu.	a boka rẽndẽneg a yagdrã zugu.
Kaam rɛɛda koom zugu.	L'huile flotte sur l'eau.	The oil floats on the water.
fo rɛɛda yɛ?	Où vas-tu?	Where are you going?
Sã n bõr-a koomẽ a rɛɛgdame.	Si tu le plonge dans l'eau il va remonter à la surface.	If you plunge him into the water he raises again to the surface.
fo pagã ba bɩ a ma yaa f rɛɛmba.	fo pagã ba bɩ a ma yaa f rɛɛmba.	fo pagã ba bɩ a ma yaa f rɛɛmba.
a basa tʋʋmã n saad b dɛɛmd wa poanda kaam.	a basa tʋʋmã n saad b dɛɛmd wa poanda kaam.	a basa tʋʋmã n saad b dɛɛmd wa poanda kaam.
kuku-rɛɛre	kuku-rɛɛre	kuku-rɛɛre
maneg yʋʋrã n dogl tɩ kɩllame n ya rɛlenga.	maneg yʋʋrã n dogl tɩ kɩllame n ya rɛlenga.	maneg yʋʋrã n dogl tɩ kɩllame n ya rɛlenga.
sutgã rɛng kaoome tɩ ka le tõe n tall n yũus sagb ye.	sutgã rɛng kaoome tɩ ka le tõe n tall n yũus sagb ye.	sutgã rɛng kaoome tɩ ka le tõe n tall n yũus sagb ye.
Biigã yaa bãaneg rɛnglga.	L'enfant est mince.	The child is slender.
yõakã rɩkda ribg n yẽnegdẽ n maand nin-naana wã.	yõakã rɩkda ribg n yẽnegdẽ n maand nin-naana wã.	yõakã rɩkda ribg n yẽnegdẽ n maand nin-naana wã.
a kãn-dibgã golmame.	a kãn-dibgã golmame.	a kãn-dibgã golmame.
bãnkoang fãa ra zãanda a ribg baraarã.	bãnkoang fãa ra zãanda a ribg baraarã.	bãnkoang fãa ra zãanda a ribg baraarã.
kaoog ribl n paas bugmã.	kaoog ribl n paas bugmã.	kaoog ribl n paas bugmã.
Bi-ribla. No-ribla.	Garçon. Coquelet.	Boy. Cockerel.
Ro-kãngã ribsdame, a ka le tar pãng ye.	Cette case est devenu faible, elle n'est plus stable.	This hut got weak, it isn't strong any more.
A ridga mam yĩngã.	Elle masse mon corps.	She massages my body.
Ridg yẽsgã.	Écrase la fourmi noire.	Trample on the ant.
rig-rig n yika tɩ b tall-a n kẽng logtor yiri.	rig-rig n yika tɩ b tall-a n kẽng logtor yiri.	rig-rig n yika tɩ b tall-a n kẽng logtor yiri.
a sẽn wʋm tɩ b baood-a lame n na n yõkã tɛkã, a sã n yã ned sẽn wat fãa a tara rig-rig woto.	a sẽn wʋm tɩ b baood-a lame n na n yõkã tɛkã, a sã n yã ned sẽn wat fãa a tara rig-rig woto.	a sẽn wʋm tɩ b baood-a lame n na n yõkã tɛkã, a sã n yã ned sẽn wat fãa a tara rig-rig woto.
Fo gomda ne-a t'a sĩnd a noorã n yɛs riga.	Tu parles avec lui et il reste imperturbable.	You speak with him and he is there seemingly unconcerned.
Nin-kẽem rigb yaa f pa na n kẽ, bɩ f yi.	Quand on veut chasser un vieux (personne adulte) on lui dit: si tu ne veux pas entrer, il faut sortir. (Proverbe: quand quelqu'un ne désire pas vous rendre service, il trouvera des stratégies implicites pour manifester son refus, sa mauvaise volonté.)	When we want to chase an old man (adult person) we tell him: if you don't want to go in, you must go out. (Proverb: When someone does not want to be of service to you, they will find implicit strategies to show their refusal, their unwillingness.)
Wẽnd na lok laooga, la a lok a rigda.	Que Dieu gratifie le rat et gratifie celui qui le chasse. (Proverbe: chaque fois qu'un homme poursuit un objectif, il souhaiterait avoir mieux que cet objectif. Lorsque quelqu'un pourchasse un rat et croise un gibier gros et gras à sa portée, il abandonnera le rat pour poursuivre ce gibier. Ainsi le chasseur et le rat sont gagnants.)	May God reward the rat and reward the one who hunts him. (Proverb: Every time a man pursues a goal, he wishes he had better than that goal. When someone chases a rat and crosses a big fat game within reach, he will abandon the rat to pursue that game. So the hunter and rat are winners.)
Waood n tar-b tɩ b rigda.	Ils ont froid et tremblent.	They shiver with cold.
A rigda bʋʋsã tɩ b ra wãb ki wã ye.	Il chasse les chèvres pour qu'elles ne mangent pas le mil.	He chases the goats away so that they don't eat the millet.
B riga soaamb t'a põse.	Il ont chassé le lièvre mais il s'est échappé.	They chased the hare but it escaped.
ned ka rigd-y tɩ y ra kẽng a yir ye.	ned ka rigd-y tɩ y ra kẽng a yir ye.	ned ka rigd-y tɩ y ra kẽng a yir ye.
A riga Bobo.	Il va à Bobo.	He goes to Bobo.
B ling-a lame t'a yaees n digimdi.	Ils l'ont surpris et il était tressailli.	They surprised him and he was scared.
a rʋga sũmã tɩ tõdg bɩɩb n rigl zãna.	a rʋga sũmã tɩ tõdg bɩɩb n rigl zãna.	a rʋga sũmã tɩ tõdg bɩɩb n rigl zãna.
A koome t'a nugã wɛglem n lebg riglimdi.	Il a cultivé et sa main est devenu rigide.	He hoed / farmed and his hand has become stiff.
Pag rignoorã.	Ferme la porte.	Close the door.
Pag-y rignoya wã tɩ noosã ra kẽ ye.	Pag-y rignoya wã tɩ noosã ra kẽ ye.	Pag-y rignoya wã tɩ noosã ra kẽ ye.
a yɛsa ninã rii la a ka ne ba a fɩ.	a yɛsa ninã rii la a ka ne ba a fɩ.	a yɛsa ninã rii la a ka ne ba a fɩ.
Wobg nemd yaa rilsindi.	La viande d'éléphant est dur.	The meat of an elephant is hard.
wʋg sagdã n vilimd ripoorã n lobe.	wʋg sagdã n vilimd ripoorã n lobe.	wʋg sagdã n vilimd ripoorã n lobe.
pagã sẽgnega a fuugã n dɩk risg n sẽbge.	pagã sẽgnega a fuugã n dɩk risg n sẽbge.	pagã sẽgnega a fuugã n dɩk risg n sẽbge.
Rɩk kugrã n rĩ sɛbã tɩ sobgã na n dɩkame.	Mets une pierre sur les feuilles de papier, sinon le vent va les emporter.	Put a stone on the paper or the wind will carry them away.
Rĩ-y «karem la kelg soalma» zugu.	Cliquez sur «Lire et écouter des contes»	Click on «read and listen to proverbs»
Rĩir nodr solgr yaa toogo.	La plaie au front se cache difficilement. (Proverbe: ce qui ne peut être tenu dans le secret doit être porté à la connaissance de tous.)	The wound on the forehead is difficult to hide. (Proverb: What cannot be kept secret must be made known to all.)
B rĩisa a nodrã tɩ koomã yita.	Ils appuient plusieurs fois sur la plaie pour que l'eau sorte.	They press several times on the wound so that the water comes out.
yẽ n kell n dĩis yellã tɩ pa sɩɩ...	yẽ n kell n dĩis yellã tɩ pa sɩɩ...	yẽ n kell n dĩis yellã tɩ pa sɩɩ...
Kãadyoog zãmbeoleng tag rĩma.	Kãadyoog zãmbeoleng tag rĩma.	Kãadyoog zãmbeoleng tag rĩma.
Saagã kũmdame n rĩmda.	L'orage gronde et fait trembler.	The rainstorm is shaking.
Rĩng-y gĩsã n kõ-m tɩ m sẽ futã.	Rĩng-y gĩsã n kõ-m tɩ m sẽ futã.	Rĩng-y gĩsã n kõ-m tɩ m sẽ futã.
A gãda tɩɩgã will n rĩms tɩ biis rʋʋge.	Il secoue la branche de l'arbre et les fruits tombent par terre.	He shakes the branch of the tree and the fruits fall on the ground.
Rĩng gĩsgã n kõ-m tɩ m sẽ fuugã.	Torde les fils pour moi pour que je puisse coudre l’habit.	Twist the threats for me so that I can sew a garment.
Moognaab soolmã tɛk yaa b rĩungu.	Moognaab soolmã tɛk yaa b rĩungu.	Moognaab soolmã tɛk yaa b rĩungu.
Rĩya nodr solgr yaa toogo.	La plaie au front se cache difficilement. (Proverbe: ce qui ne peut être tenu dans le secret doit être porté à la connaissance de tous.)	The wound on the forehead is difficult to hide. (Proverb: What cannot be kept secret must be made known to all.)
M dɩta mui.	Je mange du riz.	I am eating rice.
Bugum n dɩ.	Le feu brûle.	The fire burns.
Koom n dɩ a pʋʋgã.	L'eau a détruit son champ.	The water has destroyed his field.
A kẽe raag n dɩ a ligd zãnga.	Il est allé au marché et a dépensé tout son argent.	He went to the market and spent all his money.
yẽ n dɩt tẽngã naam rũndã-rũndã.	yẽ n dɩt tẽngã naam rũndã-rũndã.	yẽ n dɩt tẽngã naam rũndã-rũndã.
Sʋʋgã rɩtame.	Le couteau est tranchant.	The knife is sharp.
a rɩɩ kɛ-tɩ-pa-kɛ tɩɩm; b yeelame t'a rɩɩ sõodo.	a rɩɩ kɛ-tɩ-pa-kɛ tɩɩm; b yeelame t'a rɩɩ sõodo.	a rɩɩ kɛ-tɩ-pa-kɛ tɩɩm; b yeelame t'a rɩɩ sõodo.
Wẽnd pa rɩt samd, la a yaood samde.	Dieu ne s'endette pas mais il rembourse le crédit. (Proverbe: l'homme ne doit pas se rendre justice car si les hommes ne lui rendent pas justice, dieu la lui rendra un jour. L'injustice est toujours réparée, ell ne peut rester impunie.)	God does not get into debt, but he pays back the credit. (Proverb: man must not do himself justice because if men do not do him justice, God will return it one day. Injustice is always repaired, it cannot go unpunished.)
f sẽn pʋgd maam rɩd-rɩdã m tara f samde?	f sẽn pʋgd maam rɩd-rɩdã m tara f samde?	f sẽn pʋgd maam rɩd-rɩdã m tara f samde?
kambã tãooda rɩda.	kambã tãooda rɩda.	kambã tãooda rɩda.
A tus-a lame n tɩ rɩdg ne lalgã.	Elle l'a poussé contre le mur.	She pressed him against the wall.
Rɩdg f menga.	Fais un effort.	Make an effort.
A rɩdgdame n dat n bãnge.	Il a insisté pour savoir ce qu'il y a.	He insisted to know what is happening.
Rʋʋdmã rɩdga maam.	J'ai envie d'uriner.	I must urinate urgently.
B waa ka rɩẽ fo yĩnga.	Ils sont venus ici l'an passé à cause de toi.	They came here last year for you.
B gãd-a-la rɩg-rɩg t'a kõn loog ye.	Ils l'ont tenu fermement pour qu'il puisse pas s'en aller.	They got him tightly so that he can't escape.
A pʋgã weoogame n lebg rɩga.	Son ventre s'est contracté et est devenu dur au toucher.	His tummy contracted and became hard.
Ad sẽn rɩg tẽnga.	Voilà ce qui est par terre.	That's on the floor.
Rɩgl raoogã.	Pose le bois à terre.	Put the log on the ground.
ra-koɛɛg toore, rɩgr toore.	ra-koɛɛg toore, rɩgr toore.	ra-koɛɛg toore, rɩgr toore.
bao põosg n põneg rɩgrã n yaool n bʋde.	bao põosg n põneg rɩgrã n yaool n bʋde.	bao põosg n põneg rɩgrã n yaool n bʋde.
bĩnd-dɩgre.	bĩnd-dɩgre.	bĩnd-dɩgre.
Wẽnd na kɩt tɩ rõandã sãoog rɩɩgẽ.	Wẽnd na kɩt tɩ rõandã sãoog rɩɩgẽ.	Wẽnd na kɩt tɩ rõandã sãoog rɩɩgẽ.
Wʋk fuugã fo sẽn rɩɩmã tɩ kʋɩɩme.	Prend l'habit que tu as mis à sécher, il est sec.	Take the garment that you had put to dry, it is dry now.
Rɩk sebrã tɩ lʋɩɩme.	Ramasse le livre qui est tombé.	Pick up the book that fell on the ground.
rɩk bũmb n kɩdge.	rɩk bũmb n kɩdge.	rɩk bũmb n kɩdge.
Masĩnã rɩkda yãmb goamã fãa.	Le magnétophone a enregistré toutes vos paroles	The tape-recorder recorded all your words.
Ra rɩk f meng n mak ne a Zã ye. (Ra mak f meng ne a Zã ye).	Ne te compare pas avec Jean.	Don't compare yourself with John.
To saoog n dɩkde, to zʋg pa rɩkd ye.	On imite la danse d'autrui, on n'imite pas les mauvaises caractères d'autrui. (Proverbe: on doit toujours s'inspirer des bons exemples qu'offre l'autre afin de s'améliorer. Cependant, on ne doit pas imiter les mauvais exemples qu l'autre offre, car nous ne ferons que nous détruire à ce moment.)	We imitate the dance of others, we do not imitate the bad characters of others. (Proverb: we should always learn from the good examples that the other offers in order to improve ourselves. However, we should not imitate the bad examples that the other offers, because we will only destroy ourselves at that time.)
A pag rɩka pʋga.	Sa femme est tombée enceinte.	His wife got pregnant.
A koodame n rɩlgd a koambã.	Il cultive pour nourrir ses enfants.	He farms to feed his children.
b rɩlg-a-la kɛ-tɩ-pa-kẽ tɩɩm.	b rɩlg-a-la kɛ-tɩ-pa-kẽ tɩɩm.	b rɩlg-a-la kɛ-tɩ-pa-kẽ tɩɩm.
Rɩlg kõnte.	Alimenter un compte	Put money on an account.
rɩbdã rɩlsa yɩɩda taaba.	rɩbdã rɩlsa yɩɩda taaba.	rɩbdã rɩlsa yɩɩda taaba.
a yɩ-a-la rɩmm... t'a sẽn togs-a yellã n be.	a yɩ-a-la rɩmm... t'a sẽn togs-a yellã n be.	a yɩ-a-la rɩmm... t'a sẽn togs-a yellã n be.
rɩt 6 pʋɩɩbo, rɩt 5 pʋɩɩbo	divisible par 6; divisible par 5	divisible by 6; divisible by 5
Ned rɩt-n-taag la a zabd-n-taaga.	Proverbe : Le copain de chacun est son adversaire. (La cohabitation amène des tensions).	Proverb: A friend can also be an enemy. (Living together bears also tensions).
Bĩng tɩ maag gũuda rɩtba.	Proverbe: Garder la nourriture pour qu'elle se froidisse, C'est attendre les mangeurs. (Il faut profiter de l'occasion)	Proverb: To wait for the food to cool down,, is to wait for eaters (who will eat it in your place).
Sɩlg yeelame tɩ yẽnda rɩta a yãoog pãnga, tɩ yɩbrg yet t'a rɩta Wẽnd sẽn kõ-a.	L'épervier dit qu'il se nourrit de la force de sa poitrine, le charognard dit qu'il se nourrit de la part que Dieu lui a réservée. (Proverbe: nous ne devons pas être des personnes d'injustice; nous devons nous contenter des occasions qui sont les nôtres.)	The hawk says it feeds on the strength of its chest, the vulture says it feeds on the part that God has reserved for it. (Proverb: We must not be people of injustice; we must be content with the opportunities that are ours.)
A Zã rɩtame.	Jean est en train de manger.	John is eating.
ned fãa zoe a rɩtenga.	ned fãa zoe a rɩtenga.	ned fãa zoe a rɩtenga.
bi-rɩtenga	bi-rɩtenga	bi-rɩtenga
a pa rɩt ne nug ye, rẽnda rɩtga.	a pa rɩt ne nug ye, rẽnda rɩtga.	a pa rɩt ne nug ye, rẽnda rɩtga.
Goabg sã n zãad kãnde, a sõngda rɩtgo.	Quand la main gauche tient une lance, elle aide la main droite. (Proverbe: toute action constructive doit être encouragée d'où qu'elle vienne, car elle apporte toujours un soulagement et un plus.)	When the left hand holds a spear, it helps the right hand. (Proverb: Any constructive action should be encouraged wherever it comes from, for it always brings relief and a plus.)
põmpame tɩ pid rɩʋ-rɩʋ.	põmpame tɩ pid rɩʋ-rɩʋ.	põmpame tɩ pid rɩʋ-rɩʋ.
pʋʋsda ne rɩʋtgo, ka pʋʋsd ne goabg ye.	pʋʋsda ne rɩʋtgo, ka pʋʋsd ne goabg ye.	pʋʋsda ne rɩʋtgo, ka pʋʋsd ne goabg ye.
bug-rɩʋʋngo.	bug-rɩʋʋngo.	bug-rɩʋʋngo.
A roo paga.	Il a fréquenté une femme.	He dated a woman.
A tɩ roo Wẽmtenga raaga.	Il est allé fréquenter le marché de Ouemtenga.	He went to the Ouemtenga market.
kẽ n pɩɩg m baaba ro-gãaga.	kẽ n pɩɩg m baaba ro-gãaga.	kẽ n pɩɩg m baaba ro-gãaga.
pag sã n kuil sɩda, a lebga ro-kãada.	pag sã n kuil sɩda, a lebga ro-kãada.	pag sã n kuil sɩda, a lebga ro-kãada.
ro-kãam yaa sugr bug-vũundu.	ro-kãam yaa sugr bug-vũundu.	ro-kãam yaa sugr bug-vũundu.
Pʋg-yãang-kõsg são ro-vɩʋʋgo.	Une vieille femme quinteuse vaut mieux qu'une maison vide. (Proverbe: on doit prendre soin des personnes âgées, car elles comblent un vide de leur vivant. Elles jouent un rôle très important au sein des nouvelles générations)	An old woman is better than an empty house. (Proverb: we must take care of the elderly, because they fill a void during their lifetime. They play a very important role in the new generations)
ned fãa ninga forg n yɛs roa' wa soddaaga.	ned fãa ninga forg n yɛs roa' wa soddaaga.	ned fãa ninga forg n yɛs roa' wa soddaaga.
a bi-puglã ning roaab n sik rũma.	a bi-puglã ning roaab n sik rũma.	a bi-puglã ning roaab n sik rũma.
ned doagd yaa a sẽn kĩ ne-a soaba.	Les parents de quelqu'un sont ceux qui sont apparentés avec lui.	Someone's relatives are those who are related to them.
sẽn tõe bɩ sẽn tog n roge	sẽn tõe bɩ sẽn tog n roge	sẽn tõe bɩ sẽn tog n roge
Bʋ-roagenga.	Chèvre qui vient de mettre bas.	Goat that just gave birth.
Ligd roaglgã yaa wãna?	Quel est le surplus de l'argent ?	How much is the surplus of the money?
yaa a ma-roakã bɩ a ma woto bala? Ad yaa mam bi-roaka.	yaa a ma-roakã bɩ a ma woto bala? Ad yaa mam bi-roaka.	yaa a ma-roakã bɩ a ma woto bala? Ad yaa mam bi-roaka.
toog roalgã n yũ la f kõ-ma.	toog roalgã n yũ la f kõ-ma.	toog roalgã n yũ la f kõ-ma.
a sẽba a teedã rod-rod n dɩgle.	a sẽba a teedã rod-rod n dɩgle.	a sẽba a teedã rod-rod n dɩgle.
Biigã bɩɩme n rodemde.	L'enfant a bien grandi en taille.	The child grew in height.
A kẽndame n dodsdẽ.	Il marche en se courbant.	He walks with a bent back.
pagã yii yoob tɩ yẽ ne a roellã tɩ sɛg taaba.	pagã yii yoob tɩ yẽ ne a roellã tɩ sɛg taaba.	pagã yii yoob tɩ yẽ ne a roellã tɩ sɛg taaba.
wa tɩ m tʋm-fo m doelle.	wa tɩ m tʋm-fo m doelle.	wa tɩ m tʋm-fo m doelle.
rog-n-mik kõn ki n base.	rog-n-mik kõn ki n base.	rog-n-mik kõn ki n base.
yaa rog-ne na ki ne.	yaa rog-ne na ki ne.	yaa rog-ne na ki ne.
Ãbrã sẽn be a nugẽ wã yaa rog-neongo.	La verrue qui est sur sa main est congénitale.	The wart on his hand is congenital.
a Zagl yaa rog-noanga: yʋʋmd fãa a kargda a rogdbã fãa n ges-ba.	a Zagl yaa rog-noanga: yʋʋmd fãa a kargda a rogdbã fãa n ges-ba.	a Zagl yaa rog-noanga: yʋʋmd fãa a kargda a rogdbã fãa n ges-ba.
Biig sã n dog pẽbre, a yaa rog-pa-tare.	Si un enfant est né prématurément, il est né avant terme.	When a child is born before it's due time, it is born prematurely
fo rog-taasã fãa tara pagba; foo f ye n ket n ya rakõore.	fo rog-taasã fãa tara pagba; foo f ye n ket n ya rakõore.	fo rog-taasã fãa tara pagba; foo f ye n ket n ya rakõore.
ad rogd-n-kiidg ma wʋm toogo.	ad rogd-n-kiidg ma wʋm toogo.	ad rogd-n-kiidg ma wʋm toogo.
maam ne foo roga wakat yɛnga, fo yaa mam rogd-n-taaga.	maam ne foo roga wakat yɛnga, fo yaa mam rogd-n-taaga.	maam ne foo roga wakat yɛnga, fo yaa mam rogd-n-taaga.
Ka-koaad rogda kʋɩɩma.	Le cultivateur met au monde un paresseux. (Proverbe: il faut s’attendre à tout dans sa progéniture: des enfants brillants, des enfants nuls, ... etc.)	The farmer gives birth to a sloth. (Proverb: you must expect everything in your offspring: brilliant children, useless children, ... and so on.)
Pagã roga bi-riblã.	La femme a accouché un garçon.	The woman gave birth to a boy.
A roga logtor yirẽ.	Il est né à l'hôpital.	He was born at the hospital.
rogem daar ka be yãnd ye.	rogem daar ka be yãnd ye.	rogem daar ka be yãnd ye.
Rogem sebre.	Acte de naissance.	Birth certificate.
Foo ne maam yaa rogem.	Toi et moi, nous sommes en relation de parenté.	You and I are in a kinship relation.
ges a rogem sebrẽ wã tɩ f bãngda a yʋʋmã.	ges a rogem sebrẽ wã tɩ f bãngda a yʋʋmã.	ges a rogem sebrẽ wã tɩ f bãngda a yʋʋmã.
B rogenda fɩtlã fɩtl doagendgã zug tɩ neb nins sẽn kẽedã tõe n yãnd vẽenemã.	On met la lampe sur un chandelier, afin que ceux qui entrent voient la lumière.	One puts the lamp on a stand, so that those who enter may see the light.
